
ACT: buy ;CUR: USD; AMO: 15.0; REC: 65.8155; PRI: 4.3877; DAT: 28/03/2023 22:45:45
ACT: buy ;CUR: CHF; AMO: 15.0; REC: 71.805; PRI: 4.787; DAT: 28/03/2023 22:45:48
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:06
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:09
ACT: buy; CUR: USD; AMO: 15.0; REC: 65.8155; PRI: 4.3877; DAT: 28/03/2023 22:48:45
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:48
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:57
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:57
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:48:58
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:03
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:03
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:08
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:09
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:09
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:09
ACT: sell; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:11
ACT: sell; CUR: USD; AMO: 15.0; REC: 65.8155; PRI: 4.3877; DAT: 28/03/2023 22:51:54
ACT: buy; CUR: USD; AMO: 15.0; REC: 64.5135; PRI: 4.3009; DAT: 28/03/2023 22:51:57
